Log,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,trace
ACCRE,16,78,113,124,125,116,106,96,93.0,87.0,65.0
BPIC11,624,4233,11888,22646,35171,47671,59125,69310,78143.0,85715.0,981.0
BPIC12,36,188,402,668,969,1306,1755,2227,2831.0,3500.0,4366.0
BPIC13_cp,7,28,90,253,531,731,784,757,686.0,613.0,327.0
BPIC13_i,13,82,352,1006,2156,3756,5610,7498,9196.0,10425.0,2278.0
BPIC14,39,798,6310,25083,61333,105231,140812,160571,163710.0,156573.0,23272.0
BPIC15_1,398,4699,11510,16823,20400,23121,25266,26968,28272.0,29262.0,1170.0
BPIC15_2,410,4804,12038,17325,20652,23107,25044,26599,27759.0,28627.0,
BPIC15_3,383,4909,11444,16576,19902,22485,24554,26191,27521.0,28639.0,1349.0
BPIC15_4,356,3566,9003,13969,17371,20023,22111,23765,25006.0,25968.0,
BPIC15_5,389,4892,13112,19356,22842,25535,27767,29600,31122.0,32375.0,
BPIC17,26,178,534,1132,2054,3305,4911,6935,9430.0,12428.0,15930.0
BPIC18,41,594,3171,10393,25907,54151,98845,159684,,,
BPIC19,42,499,2536,7588,15500,24619,32189,36514,38530.0,39571.0,11973.0
BPIC20_dd,17,40,64,98,135,159,177,187,185.0,178.0,99.0
BPIC20_id,34,196,450,791,1206,1588,1914,2133,2216.0,2184.0,753.0
BPIC20_ptc,29,164,308,436,540,594,605,566,507.0,448.0,202.0
BPIC20_rfp,19,45,73,105,135,154,160,157,146.0,137.0,89.0
BPIC20_tpd,51,553,1506,2780,4193,5503,6684,7543,8074.0,8293.0,1478.0
CALL,19,228,897,1526,1748,1737,1710,1703,1699.0,1696.0,1690.0
ITHD,14,57,137,244,329,348,319,286,264.0,252.0,226.0
MOBIS,26,128,247,381,543,715,906,1117,1336.0,1551.0,1109.0
RTFMP,11,70,171,252,304,309,288,273,259.0,255.0,231.0
SEPSIS,16,115,401,929,1729,2758,3738,4549,5040.0,5211.0,846.0
