,Scenario,ID,Name,N,Process a,Process a,Process a,Process a,Process a,Process a,s,Process b,Process b,Process b,Process b,Process b,Process b,seed
,,,,,m,n,o,p,q,alpha,,m,n,o,p,q,alpha,
0,Example,example1,Example configuration,10000,2,2,3,0.2,majority,,,,,,,,,123
1,Simple process structure,a1,Single equal XOR,10000,1,1,10,0.0,equal,,,,,,,,,123
2,Simple process structure,a2,Single majority XOR,10000,1,1,10,0.0,majority,,,,,,,,,123
3,Simple process structure,a3,Single power law XOR,10000,1,1,10,0.0,power_law,2.0,,,,,,,,123
4,Simple process structure,a4,Multi-equal XORs,10000,1,6,10,0.0,equal,,,,,,,,,123
5,Simple process structure,a5,Multi-majority XORs,10000,1,6,10,0.0,majority,,,,,,,,,123
6,Simple process structure,a6,Multi-power law XORs,10000,1,6,10,0.0,power_law,2.0,,,,,,,,123
7,Simple process structure,a7,"Single majority XOR, loop",10000,1,1,10,0.2,majority,,,,,,,,,123
8,Simple process structure,a8,"Single power law XOR, loop",10000,1,1,10,0.2,power_law,2.0,,,,,,,,123
9,Simple process structure,a9,"Parallel, majority XOR",10000,2,1,10,0.0,majority,,,,,,,,,123
10,Simple process structure,a10,"Parallel, power law XOR",10000,2,1,10,0.0,power_law,2.0,,,,,,,,123
11,Simple process structure,a11,Complex majority XORs,10000,2,6,10,0.2,majority,,,,,,,,,123
12,Process composition,b1,"Composition, $\alpha$ constant",10000,1,1,100,0.0,power_law,1.0,,1.0,1.0,100.0,0.0,power_law,1.0,123
13,Process composition,b2,"Composition, $\alpha$ change",10000,1,1,100,0.0,power_law,1.0,,1.0,1.0,100.0,0.0,power_law,3.0,123
14,Process change,c1,Non-overlapping change,10000,1,1,100,0.0,power_law,2.0,non_overlapping,1.0,1.0,100.0,0.0,power_law,2.0,123
15,Process change,c2,"$\alpha$ change, overlapping",10000,1,1,100,0.0,power_law,1.0,overlapping,1.0,1.0,100.0,0.0,power_law,3.0,123
16,Process change,c3,"XOR change, overlapping",10000,1,2,10,0.0,majority,,overlapping,1.0,3.0,10.0,0.0,majority,,123
