Log,Description,# Cases,# Events,# Variants,# Activities,Median Trace Length,Max Trace Length
ACCRE,,398,1945,65,16,4,21
BPIC11,,1143,150291,981,624,55,1814
BPIC12,,13087,262200,4366,36,11,175
BPIC13_cp,,1487,6660,327,7,3,35
BPIC13_i,,7554,65533,2278,13,6,123
BPIC14,,46616,466737,23272,39,7,178
BPIC17,,31509,1202267,15930,26,35,180
BPIC18,,43809,2514266,28489,41,49,2973
BPIC19,,251734,1595923,11973,42,5,990
BPIC20_dd,,10500,56437,99,17,5,24
BPIC20_id,,6449,72151,753,34,10,27
BPIC20_ptc,,2099,18246,202,29,8,21
BPIC20_rfp,,6886,36796,89,19,5,20
BPIC20_tpd,,7065,86581,1478,51,11,90
CALL,,260889,445567,1690,19,2,15
ITHD,,4580,21348,226,14,4,15
MOBIS,,6555,83256,1109,26,12,49
RTFMP,,150370,561470,231,11,5,20
SEPSIS,,1050,15214,846,16,13,185
