Log,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,trace
ACCRE,14,62,77,79,195,183,163,140,117,34,65
BPIC11,624,4295,5292,8248,10542,11826,12321,6600,11832,11187,25
BPIC12,19,43,40,384,39,512,591,678,1568,1826,199
BPIC13_cp,5,10,44,100,370,376,289,200,57,52,76
BPIC13_i,5,90,213,1090,2368,4179,6365,3033,3064,1468,344
BPIC14,25,161,851,27587,68586,35088,33114,23707,4277,688,2034
BPIC17,17,19,405,1194,2166,3490,5193,7338,9988,7360,748
BPIC18,24,535,3271,10679,26526,55276,5222,13070,25387,38620,629
BPIC19,17,116,307,661,17591,13165,14928,14649,1122,1247,1182
BPIC20_dd,14,28,87,127,168,206,234,250,249,108,53
BPIC20_id,31,161,154,211,1378,1868,2317,2685,2896,2944,293
BPIC20_ptc,29,175,343,504,641,736,786,787,733,650,202
BPIC20_rfp,16,32,96,66,177,202,212,210,199,183,89
BPIC20_tpd,45,342,1567,1459,1977,2373,2619,2720,2711,1540,385
CALL,13,15,332,2210,2569,640,693,674,672,672,672
ITHD,14,69,165,304,448,535,528,161,127,108,91
MOBIS,24,77,331,494,685,909,1161,1431,1704,1979,401
RTFMP,11,74,170,257,311,510,510,467,408,353,231
SEPSIS,10,95,114,50,253,3163,4304,1444,1150,878,62
