Log,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,trace
ACCRE,A,E,E,B,E,E,B,E,E,E,E
BPIC11,B,B,B,B,B,B,B,B,B,B,A
BPIC12,A,E,E,B,E,B,B,B,B,B,E
BPIC13_cp,A,A,B,E,B,E,E,B,E,B,E
BPIC13_i,A,B,B,B,B,C,B,E,E,E,B
BPIC14,A,E,B,B,B,B,B,E,B,B,B
BPIC17,A,A,B,B,B,B,B,B,B,B,E
BPIC18,A,B,B,B,B,B,B,B,D,E,E
BPIC19,A,E,E,E,B,B,E,B,E,E,E
BPIC20_dd,A,A,B,B,C,E,E,C,B,E,E
BPIC20_id,B,B,B,C,B,B,B,B,B,B,E
BPIC20_ptc,A,B,C,C,E,E,E,E,B,B,E
BPIC20_rfp,A,B,B,B,B,B,B,B,B,B,C
BPIC20_tpd,B,B,C,B,B,B,B,B,B,B,E
CALL,A,A,B,B,B,B,B,B,B,B,B
ITHD,A,B,C,C,C,B,B,E,E,E,E
MOBIS,A,B,B,B,B,B,B,B,B,B,E
RTFMP,A,B,E,E,E,E,E,E,E,E,E
SEPSIS,A,B,B,E,C,B,B,E,E,E,E
