Log,alpha,x_min,fitted types,fitted type %,GOF p,best alternative,R,p,Result,Classification
ACCRE,1.8251312200807708,1.0,65,100.0,0.8984,stretched_exponential,-0.2490213180067088,0.617451843952515,Inconclusive,E
BPIC11,2.437601166261916,3.0,25,2.54841997961264,0.678,lognormal,-0.0218576822102707,0.8177295651552814,Inconclusive,A
BPIC12,2.0485758028409986,4.0,199,4.55794777828676,0.5084,lognormal,-8.117010765932283,0.3157919660382611,Inconclusive,E
BPIC13_cp,1.9490895462512,2.0,76,23.24159021406728,0.7096,lognormal,-6.375942024392238,0.3093753225171728,Inconclusive,E
BPIC13_i,2.035654181805521,2.0,344,15.1009657594381,0.0,lognormal,-8.358310185436048,0.2676350260094929,Inconclusive,B
BPIC14,2.0751047724339258,2.0,2034,8.74011687865245,0.0,lognormal,-5.13772769423586,1.1971292605203157e-11,Alt. preferred,B
BPIC17,2.0740534587878834,4.0,748,4.69554300062774,0.8268,lognormal,-0.1473758811942445,0.7016772075168006,Inconclusive,E
BPIC18,2.046500905595776,4.0,629,2.20786970409631,0.3952,lognormal,-0.0482645959694991,0.5814284015973102,Inconclusive,E
BPIC19,1.7313482782462255,5.0,1182,9.87221247807567,0.3492,lognormal,-0.0618189946064391,0.2650863173699591,Inconclusive,E
BPIC20_dd,1.4739892382157858,2.0,53,53.535353535353536,0.8184,lognormal,-0.168836272409198,0.6589147469768797,Inconclusive,E
BPIC20_id,1.792679919411056,2.0,293,38.91102257636122,0.386,lognormal,-0.552512163008887,0.4351403101355336,Inconclusive,E
BPIC20_ptc,1.804496723156868,1.0,202,100.0,0.8276,lognormal,0.1219167757723367,0.8405675626990774,Inconclusive,E
BPIC20_rfp,1.5278570064205763,1.0,89,100.0,0.2292,lognormal,-0.6918539649176982,0.0588709320436631,Alt. preferred,C
BPIC20_tpd,1.8721801972990075,2.0,385,26.04871447902571,0.5972,lognormal,-0.2828363866842032,0.4193845820195194,Inconclusive,E
CALL,1.4856767519757763,3.0,672,39.763313609467446,0.0728,lognormal,-1.8922864839755744,0.1634813914220272,Inconclusive,B
ITHD,1.6729820550721777,2.0,91,40.26548672566372,0.5952,lognormal,-0.0736372881816542,0.7609732002237115,Inconclusive,E
MOBIS,1.815836614905668,2.0,401,36.15870153291253,0.206,lognormal,-1.5965696613551494,0.1888123279483002,Inconclusive,E
RTFMP,1.521673304033022,1.0,231,100.0,0.2652,lognormal,-1.034420561504417,0.2648184351356527,Inconclusive,E
SEPSIS,2.544027585726212,2.0,62,7.328605200945621,0.7632,lognormal,-3.2799530958991507,0.3050563705345742,Inconclusive,E
