log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,3,,1.6467065064686452,0.0763588190507887,62,0.6326530612244898,0.9812206572769951,2.1094660499520925,0.2216,2500,0,False,True,refit_all_parameters
BPIC11,1,,1.5932898419121373,0.0174668436187853,4295,1.0,1.0,3.9330314951024055,0.0,2500,0,False,True,refit_all_parameters
BPIC12,1939,,2.279056987626702,0.0998166521825687,43,0.2128712871287128,0.8488886144278517,0.9528216566599356,0.1324,2500,0,False,True,refit_all_parameters
BPIC13_cp,262,,2.1838802355241915,0.1644809535715066,10,0.2941176470588235,0.8987357309439057,0.7540096772022087,0.3364,2500,0,False,True,refit_all_parameters
BPIC13_i,2,,1.2830023189815698,0.1248823058444119,90,0.9183673469387756,0.999890541409553,3.728353782021229,0.0,2499,1,False,True,refit_all_parameters
BPIC14,299,,1.715847782169313,0.0500570766742907,161,0.1869918699186991,0.9462747855763968,2.1465531995416143,0.1936,2500,0,False,True,refit_all_parameters
BPIC17,22264,,2.874475217100209,0.1112297734387296,19,0.0994764397905759,0.6956538301928389,0.7153170704066768,0.3604,2500,0,False,True,refit_all_parameters
BPIC18,2,,1.2522697201815536,0.0741829107705284,535,0.864297253634895,0.9999671628079708,5.182226284153291,0.0,2477,23,False,True,refit_all_parameters
BPIC19,433,,1.534299736698313,0.0498616234731339,116,0.2156133828996282,0.9883170956514116,2.664253197409618,0.3932,2500,0,False,True,refit_all_parameters
BPIC20_dd,30,,1.3520568105691884,0.167543205908741,28,0.5957446808510638,0.9989691799752004,2.5384480517102173,0.002,2500,0,False,True,refit_all_parameters
BPIC20_id,3,,1.3460042239203576,0.0912576433047621,161,0.7666666666666667,0.99912213740458,3.311683238324986,0.0,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.3810502009746486,0.0725225550741499,175,1.0,1.0,3.294466226161593,0.0028,2500,0,False,True,refit_all_parameters
BPIC20_rfp,19,,1.3813905572856906,0.1615429931928542,32,0.5714285714285714,0.9983975092715536,2.5546485282790297,0.0012,2500,0,False,True,refit_all_parameters
BPIC20_tpd,3,,1.4400930091147042,0.042901967263112,342,0.602112676056338,0.9970420519829998,3.368844506825821,0.0304,2500,0,False,True,refit_all_parameters
CALL,16979,,3.079608459339137,0.0607263401828315,15,0.0607287449392712,0.6756584981938012,0.7946187105124408,0.9936,2500,0,False,True,refit_all_parameters
ITHD,1,,1.3357787943523136,0.0885911472986537,69,1.0,1.0,3.6587743208443566,0.06,2500,0,False,True,refit_all_parameters
MOBIS,54,,1.480581424097989,0.1172606102220153,77,0.4583333333333333,0.992161316542517,1.9437509205332375,0.0008,2500,0,False,True,refit_all_parameters
RTFMP,2,,1.224321566046925,0.0935620593504976,74,0.9487179487179488,0.9999943807597212,4.876131204062066,0.0309361189232623,2489,11,False,True,refit_all_parameters
SEPSIS,10,,1.540726406956081,0.1019241233834039,95,0.7037037037037037,0.9928676832267584,2.249931756634195,0.0028,2500,0,False,True,refit_all_parameters
