log_name,input_path,n_occurrences,n_types,n_singletons,singleton_share,xmin,xmax,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,fit_valid,classification,best_other_distribution,alpha,KS_D,gof_p,n_success,n_failed,gof_kind
ACCRE,results/attachments/n8/ACCRE/attachments.csv.gz,547,140,95,0.6785714285714286,1.0,,140,1.0,1.0,2.167317334748176,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.0815859206538176,0.0434740999005439,0.1248,2500,0,refit_all_parameters
BPIC11,results/attachments/n8/BPIC11/attachments.csv.gz,145114,70476,58203,0.8258556104205687,3.0,,6600,0.0936489017537885,0.5207285306724369,2.6113692154627337,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.1654384660897907,0.015506777142888,0.0,2500,0,refit_all_parameters
BPIC12,results/attachments/n8/BPIC12/attachments.csv.gz,207052,2520,645,0.2559523809523809,22.0,,678,0.269047619047619,0.958087823348724,2.5239828175558485,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,stretched_exponential,1.6319472646478657,0.0588696827887558,0.0,2500,0,refit_all_parameters
BPIC13_cp,results/attachments/n8/BPIC13_cp/attachments.csv.gz,2444,1048,848,0.8091603053435115,2.0,,200,0.1908396946564885,0.6530278232405892,2.3847117429382827,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,2.4468962958299887,0.0546240873671004,0.016,2500,0,refit_all_parameters
BPIC13_i,results/attachments/n8/BPIC13_i/attachments.csv.gz,35263,8647,5614,0.6492425118538221,2.0,,3033,0.3507574881461778,0.8407963020729944,2.9417598138146954,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.0045305309620867,0.0085672453804456,0.4328,2500,0,refit_all_parameters
BPIC14,results/attachments/n8/BPIC14/attachments.csv.gz,261040,191410,167703,0.8761454469463456,2.0,,23707,0.1238545530536544,0.3575582286239657,2.9476787399369364,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.812090934291474,0.0030855513231852,0.3808,2500,0,refit_all_parameters
BPIC17,results/attachments/n8/BPIC17/attachments.csv.gz,1044722,7338,2917,0.3975197601526301,1.0,,7338,1.0,1.0,4.426787690457996,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.487923093968154,0.0217296008890909,0.0,2500,0,refit_all_parameters
BPIC18,results/attachments/n8/BPIC18/attachments.csv.gz,2295221,162189,93809,0.5783931092737485,12.0,,13070,0.0805849965164098,0.8658608473868094,3.966110431107832,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.9263202950795504,0.0080472036168903,0.008,2500,0,refit_all_parameters
BPIC19,results/attachments/n8/BPIC19/attachments.csv.gz,580389,45851,31202,0.6805086039562932,2.0,,14649,0.3194913960437068,0.9462395048837936,4.524714098787476,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.9392535728243288,0.0130404459929537,0.0,2500,0,refit_all_parameters
BPIC20_dd,results/attachments/n8/BPIC20_dd/attachments.csv.gz,13394,250,112,0.448,1.0,,250,1.0,1.0,3.6644539285811577,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternative preferred,lognormal,1.561893602278711,0.0327553914678149,0.3872,2500,0,refit_all_parameters
BPIC20_id,results/attachments/n8/BPIC20_id/attachments.csv.gz,39952,2685,1310,0.4878957169459962,1.0,,2685,1.0,1.0,3.197831693328903,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.6970068071098598,0.0172108289531329,0.0084,2500,0,refit_all_parameters
BPIC20_ptc,results/attachments/n8/BPIC20_ptc/attachments.csv.gz,7996,787,434,0.5514612452350699,1.0,,787,1.0,1.0,2.7634279935629373,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.8070158998369723,0.017220550958664,0.2968,2500,0,refit_all_parameters
BPIC20_rfp,results/attachments/n8/BPIC20_rfp/attachments.csv.gz,8603,210,92,0.4380952380952381,1.0,,210,1.0,1.0,3.4787107555127594,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,stretched_exponential,1.5615693846933434,0.0501697296490155,0.0624,2500,0,refit_all_parameters
BPIC20_tpd,results/attachments/n8/BPIC20_tpd/attachments.csv.gz,51505,8428,5708,0.677266255339345,2.0,,2720,0.3227337446606549,0.8891758081739637,2.852479993636857,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.866645940215832,0.018872642328954,0.0024,2500,0,refit_all_parameters
CALL,results/attachments/n8/CALL/attachments.csv.gz,260970,1762,859,0.4875141884222474,3.0,,674,0.3825198637911464,0.994953442924474,3.923140356025201,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.486866027752688,0.0288134738129193,0.0708,2500,0,refit_all_parameters
ITHD,results/attachments/n8/ITHD/attachments.csv.gz,5169,450,289,0.6422222222222222,2.0,,161,0.3577777777777777,0.9440897659121686,3.0729847446279304,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.8139727845996667,0.045206257887178,0.1464,2500,0,refit_all_parameters
MOBIS,results/attachments/n8/MOBIS/attachments.csv.gz,53194,1431,579,0.4046121593291404,1.0,,1431,1.0,1.0,3.281260687055013,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,stretched_exponential,1.498821295621597,0.0467253351344407,0.0,2500,0,refit_all_parameters
RTFMP,results/attachments/n8/RTFMP/attachments.csv.gz,153688,467,195,0.4175588865096359,1.0,,467,1.0,1.0,4.751910066471252,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.5671173810705346,0.0134399501199026,0.9368,2500,0,refit_all_parameters
SEPSIS,results/attachments/n8/SEPSIS/attachments.csv.gz,10132,5273,3829,0.726152095581263,2.0,,1444,0.2738479044187369,0.6220884326885117,1.5854607295085006,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.430953712652134,0.0099311915291854,0.496,2500,0,refit_all_parameters
