log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind,doubly_bounded_exclude_head_variants,selected,actual_excluded_variants
ACCRE,1,147.0,1.7701580688568177,0.0170988509803607,65,1.0,1.0,2.167317334748176,0.9704,2500,0,False,True,refit_all_parameters,0,True,0
BPIC11,3,41.0,2.290009577508651,0.0492952064707091,25,0.0254841997961264,0.1522309711286089,1.135662602000073,0.644,2500,0,False,True,refit_all_parameters,0,True,0
BPIC12,4,271.0,2.0643768966849283,0.0292784672785605,197,0.0451213925790196,0.2345075265530679,1.8309092995464435,0.356,2500,0,False,True,refit_all_parameters,2,True,2
BPIC13_cp,2,12.0,2.115471739278988,0.0221243783989451,66,0.2018348623853211,0.1580363147276395,0.7781512503836436,0.952,2500,0,False,True,refit_all_parameters,10,True,10
BPIC13_i,2,161.0,2.080090544709235,0.0466503766535271,339,0.1488147497805092,0.3298914482393434,1.9057958803678683,0.0016,2500,0,False,True,refit_all_parameters,5,True,5
BPIC14,4,1773.0,1.873462712096272,0.0493460608096656,753,0.0323564798899965,0.4820662433499227,2.646648744272955,0.0,2500,0,False,True,refit_all_parameters,0,True,0
BPIC17,4,734.0,2.0681242940594,0.0112868839300692,746,0.0468298807281858,0.400361801390079,2.263636068588108,0.7492,2500,0,False,True,refit_all_parameters,2,True,2
BPIC18,3,216.0,2.0974788533240103,0.0172601072014139,915,0.032117659447506,0.2268940172110753,1.8573324964312683,0.258,2500,0,False,True,refit_all_parameters,10,True,10
BPIC19,5,4210.0,1.7369332794174908,0.0149956418610729,1172,0.0978869122191597,0.3516211556643123,2.925312091499649,0.3708,2500,0,False,True,refit_all_parameters,10,True,10
BPIC20_dd,2,1392.0,1.4489397195760496,0.0305885602581604,51,0.5151515151515151,0.3202857142857143,2.842609239610562,0.8904,2500,0,False,True,refit_all_parameters,2,True,2
BPIC20_id,2,361.0,1.760779820590697,0.0235753590166207,291,0.3864541832669322,0.6196309505349666,2.256477206241677,0.4316,2500,0,False,True,refit_all_parameters,2,True,2
BPIC20_ptc,1,28.0,1.842057929692755,0.0111978502749967,192,0.9504950495049505,0.2625059552167699,1.4471580313422192,0.9764,2500,0,False,True,refit_all_parameters,10,True,10
BPIC20_rfp,1,202.0,1.5494657638676028,0.062134399156305,84,0.9438202247191012,0.1230031948881789,2.305351369446624,0.0468,2500,0,False,True,refit_all_parameters,5,True,5
BPIC20_tpd,2,427.0,1.845805868728677,0.017494859164123,384,0.2598105548037889,0.7099787685774946,2.329397879361043,0.6876,2500,0,False,True,refit_all_parameters,1,True,1
CALL,4,13634.0,1.448736075700815,0.0195618408077598,562,0.3325443786982248,0.6217241815484746,3.532563298334475,0.472,2500,0,False,True,refit_all_parameters,5,True,5
ITHD,2,109.0,1.653989426945509,0.0434348352958005,86,0.3805309734513274,0.2013100436681222,1.7363965022766426,0.2292,2500,0,False,True,refit_all_parameters,5,True,5
MOBIS,2,302.0,1.7710765944773443,0.0168592362030645,399,0.3597835888187556,0.7652173913043478,2.1789769472931693,0.7408,2500,0,False,True,refit_all_parameters,2,True,2
RTFMP,1,443.0,1.5791047979728865,0.0201584540382638,221,0.9567099567099568,0.0193522644144443,2.646403726223069,0.8428,2500,0,False,True,refit_all_parameters,10,True,10
SEPSIS,2,22.0,2.6631427300761112,0.0227205098590763,60,0.0709219858156028,0.1971428571428571,1.0413926851582251,0.946,2500,0,False,True,refit_all_parameters,2,True,2
