log_name,input_path,n_occurrences,n_types,n_singletons,singleton_share,xmin,xmax,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,fit_valid,classification,best_other_distribution,alpha,KS_D,gof_p,n_success,n_failed,gof_kind,doubly_bounded_exclude_head_variants,actual_excluded_variants
BPIC11,results/attachments/variants/BPIC11/attachments.csv.gz,1143,981,943,0.961264016309888,3.0,41.0,25,0.0254841997961264,0.1522309711286089,1.135662602000073,True,(1) < 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternative preferred,lognormal,2.290009577508651,0.0492952064707091,0.644,2500,0,refit_all_parameters,0,0
BPIC13_i,results/attachments/variants/BPIC13_i/attachments.csv.gz,7554,2278,1934,0.848990342405619,2.0,161.0,339,0.1488147497805092,0.3298914482393434,1.9057958803678683,True,(1) >= 30 fitted types; (2) doubly bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.080090544709235,0.0466503766535271,0.0016,2500,0,refit_all_parameters,5,5
BPIC14,results/attachments/variants/BPIC14/attachments.csv.gz,46616,23272,21238,0.9125988312134754,4.0,1773.0,753,0.0323564798899965,0.4820662433499227,2.646648744272955,True,(1) >= 30 fitted types; (2) doubly bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.873462712096272,0.0493460608096656,0.0,2500,0,refit_all_parameters,0,0
BPIC20_rfp,results/attachments/variants/BPIC20_rfp/attachments.csv.gz,6886,89,41,0.4606741573033708,1.0,202.0,84,0.9438202247191012,0.1230031948881789,2.305351369446624,True,(1) >= 30 fitted types; (2) doubly bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.5494657638676028,0.062134399156305,0.0468,2500,0,refit_all_parameters,5,5
BPIC18,results/attachments/variants/BPIC18/attachments.csv.gz,43809,28489,26634,0.9348871494260944,3.0,216.0,915,0.032117659447506,0.2268940172110753,1.8573324964312683,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternative preferred,lognormal,2.0974788533240103,0.0172601072014139,0.258,2500,0,refit_all_parameters,10,10
BPIC20_dd,results/attachments/variants/BPIC20_dd/attachments.csv.gz,10500,99,46,0.4646464646464646,2.0,1392.0,51,0.5151515151515151,0.3202857142857143,2.842609239610562,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternative preferred,lognormal,1.4489397195760496,0.0305885602581604,0.8904,2500,0,refit_all_parameters,2,2
ACCRE,results/attachments/variants/ACCRE/attachments.csv.gz,398,65,35,0.5384615384615384,1.0,147.0,65,1.0,1.0,2.167317334748176,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.7701580688568177,0.0170988509803607,0.9704,2500,0,refit_all_parameters,0,0
BPIC12,results/attachments/variants/BPIC12/attachments.csv.gz,13087,4366,3754,0.8598259276225378,4.0,271.0,197,0.0451213925790196,0.2345075265530679,1.8309092995464435,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternatives inconclusive,stretched_exponential,2.0643768966849283,0.0292784672785605,0.356,2500,0,refit_all_parameters,2,2
BPIC13_cp,results/attachments/variants/BPIC13_cp/attachments.csv.gz,1487,327,251,0.7675840978593272,2.0,12.0,66,0.2018348623853211,0.1580363147276395,0.7781512503836436,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternatives inconclusive,stretched_exponential,2.115471739278988,0.0221243783989451,0.952,2500,0,refit_all_parameters,10,10
BPIC17,results/attachments/variants/BPIC17/attachments.csv.gz,31509,15930,13907,0.873006905210295,4.0,734.0,746,0.0468298807281858,0.400361801390079,2.263636068588108,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.0681242940594,0.0112868839300692,0.7492,2500,0,refit_all_parameters,2,2
BPIC19,results/attachments/variants/BPIC19/attachments.csv.gz,251734,11973,9030,0.7541969431220246,5.0,4210.0,1172,0.0978869122191597,0.3516211556643123,2.925312091499649,True,(1) >= 30 fitted types; (2) doubly bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.7369332794174908,0.0149956418610729,0.3708,2500,0,refit_all_parameters,10,10
