log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
ACCRE,65,full_range_power_law,exponential,47.05104028460271,0.0152287737877398,full_range_power_law,full_range_power_law favored (distinguishable)
ACCRE,65,full_range_power_law,lognormal,-0.2373198143344922,0.5653824923807711,lognormal,inconclusive (lognormal numerically favored)
ACCRE,65,full_range_power_law,stretched_exponential,-0.2490213180067088,0.617451843952515,stretched_exponential,inconclusive (stretched_exponential numerically favored)
ACCRE,65,full_range_power_law,truncated_power_law,-0.2829607928053289,0.4518841363843312,truncated_power_law,inconclusive (truncated_power_law numerically favored)
BPIC11,981,full_range_power_law,exponential,,,,
BPIC11,981,full_range_power_law,lognormal,,,,
BPIC11,981,full_range_power_law,stretched_exponential,,,,
BPIC11,981,full_range_power_law,truncated_power_law,,,,
BPIC12,4366,full_range_power_law,exponential,,,,
BPIC12,4366,full_range_power_law,lognormal,,,,
BPIC12,4366,full_range_power_law,stretched_exponential,,,,
BPIC12,4366,full_range_power_law,truncated_power_law,,,,
BPIC13_cp,327,full_range_power_law,exponential,402.7545057273154,0.0002922665032362,full_range_power_law,full_range_power_law favored (distinguishable)
BPIC13_cp,327,full_range_power_law,lognormal,-10.240688926597672,0.1285512832514953,lognormal,inconclusive (lognormal numerically favored)
BPIC13_cp,327,full_range_power_law,stretched_exponential,1.8259310191452676,0.1005348138360996,full_range_power_law,inconclusive (full_range_power_law numerically favored)
BPIC13_cp,327,full_range_power_law,truncated_power_law,1.2416290994798906e-06,0.9987426655334536,full_range_power_law,inconclusive (full_range_power_law numerically favored)
BPIC13_i,2278,full_range_power_law,exponential,,,,
BPIC13_i,2278,full_range_power_law,lognormal,,,,
BPIC13_i,2278,full_range_power_law,stretched_exponential,,,,
BPIC13_i,2278,full_range_power_law,truncated_power_law,,,,
BPIC14,23272,full_range_power_law,exponential,,,,
BPIC14,23272,full_range_power_law,lognormal,,,,
BPIC14,23272,full_range_power_law,stretched_exponential,,,,
BPIC14,23272,full_range_power_law,truncated_power_law,,,,
BPIC17,15930,full_range_power_law,exponential,,,,
BPIC17,15930,full_range_power_law,lognormal,,,,
BPIC17,15930,full_range_power_law,stretched_exponential,,,,
