log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,1,,1.8251312200807708,0.0291609731501664,65,1.0,1.0,2.167317334748176,0.9008,2500,0,False,True,refit_all_parameters
BPIC11,1,,4.0,0.9989806320081548,981,1.0,1.0,1.6127838567197357,,0,0,True,False,skipped_invalid_fit
BPIC12,1,,4.0,0.999770957398076,4366,1.0,1.0,3.535167485114944,,0,0,True,False,skipped_invalid_fit
BPIC13_cp,1,,2.346200428774041,0.0577317995157994,327,1.0,1.0,2.6857417386022635,0.3332,2500,0,False,True,refit_all_parameters
BPIC13_i,1,,4.0,0.9995610184372256,2278,1.0,1.0,3.2427898094786767,,0,0,True,False,skipped_invalid_fit
BPIC14,1,,4.0,0.9999570299071846,23272,1.0,1.0,3.2487087356009177,,0,0,True,False,skipped_invalid_fit
BPIC17,1,,4.0,0.9999372253609542,15930,1.0,1.0,3.0236639181977933,,0,0,True,False,skipped_invalid_fit
BPIC18,1,,4.0,0.9999648987328442,28489,1.0,1.0,3.0726174765452368,,0,0,True,False,skipped_invalid_fit
BPIC19,1,,2.2141494992706683,0.0792891868015601,11973,1.0,1.0,4.701447091039148,0.0,2500,0,False,True,refit_all_parameters
BPIC20_dd,1,,1.5396474863419465,0.0594789895366019,99,1.0,1.0,3.6644539285811577,0.2884,2500,0,False,True,refit_all_parameters
BPIC20_id,1,,1.9038207890243093,0.0379197435551027,753,1.0,1.0,3.13640344813399,0.0032,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.804496723156868,0.0197918702653187,202,1.0,1.0,2.755112266395072,0.8304,2500,0,False,True,refit_all_parameters
BPIC20_rfp,1,,1.5278570064205763,0.0620631322169532,89,1.0,1.0,3.4787107555127594,0.3056,2500,0,False,True,refit_all_parameters
BPIC20_tpd,1,,2.2165402648974286,0.0639326531782151,1478,1.0,1.0,2.9804578922761,0.0,2500,0,False,True,refit_all_parameters
CALL,1,,1.5663851713673789,0.0494918784779724,1690,1.0,1.0,4.400261610744863,0.0,2500,0,False,True,refit_all_parameters
ITHD,1,,1.8132705703285632,0.0604868358199535,226,1.0,1.0,3.374014740291912,0.008,2500,0,False,True,refit_all_parameters
MOBIS,1,,1.9616944933982143,0.0440117290202172,1109,1.0,1.0,2.6981005456233897,0.0,2500,0,False,True,refit_all_parameters
RTFMP,1,,1.521673304033022,0.0377606523147742,231,1.0,1.0,4.751910066471252,0.3256,2500,0,False,True,refit_all_parameters
SEPSIS,1,,4.0,0.9988179669030732,846,1.0,1.0,1.5440680443502757,,0,0,True,False,skipped_invalid_fit
