log_name,input_path,n_occurrences,n_types,n_singletons,singleton_share,xmin,xmax,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,fit_valid,classification,best_other_distribution,alpha,KS_D,gof_p,n_success,n_failed,gof_kind
ACCRE,results/attachments/variants/ACCRE/attachments.csv.gz,398,65,35,0.5384615384615384,1.0,,65,1.0,1.0,2.167317334748176,True,(1) >= 30 fitted types; (2) full range power law plausible (p>=0.1); (3) alternatives inconclusive,stretched_exponential,1.8251312200807708,0.0291609731501664,0.9008,2500.0,0.0,refit_all_parameters
BPIC11,results/attachments/variants/BPIC11/attachments.csv.gz,1143,981,943,0.961264016309888,1.0,,981,1.0,1.0,1.6127838567197357,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
BPIC12,results/attachments/variants/BPIC12/attachments.csv.gz,13087,4366,3754,0.8598259276225378,1.0,,4366,1.0,1.0,3.535167485114944,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
BPIC13_cp,results/attachments/variants/BPIC13_cp/attachments.csv.gz,1487,327,251,0.7675840978593272,1.0,,327,1.0,1.0,2.6857417386022635,True,(1) >= 30 fitted types; (2) full range power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.346200428774041,0.0577317995157994,0.3332,2500.0,0.0,refit_all_parameters
BPIC13_i,results/attachments/variants/BPIC13_i/attachments.csv.gz,7554,2278,1934,0.848990342405619,1.0,,2278,1.0,1.0,3.2427898094786767,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
BPIC14,results/attachments/variants/BPIC14/attachments.csv.gz,46616,23272,21238,0.9125988312134754,1.0,,23272,1.0,1.0,3.2487087356009177,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
BPIC17,results/attachments/variants/BPIC17/attachments.csv.gz,31509,15930,13907,0.873006905210295,1.0,,15930,1.0,1.0,3.0236639181977933,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
BPIC18,results/attachments/variants/BPIC18/attachments.csv.gz,43809,28489,26634,0.9348871494260944,1.0,,28489,1.0,1.0,3.0726174765452368,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
BPIC19,results/attachments/variants/BPIC19/attachments.csv.gz,251734,11973,9030,0.7541969431220246,1.0,,11973,1.0,1.0,4.701447091039148,True,(1) >= 30 fitted types; (2) full range power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.2141494992706683,0.0792891868015601,0.0,2500.0,0.0,refit_all_parameters
BPIC20_dd,results/attachments/variants/BPIC20_dd/attachments.csv.gz,10500,99,46,0.4646464646464646,1.0,,99,1.0,1.0,3.6644539285811577,True,(1) >= 30 fitted types; (2) full range power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.5396474863419465,0.0594789895366019,0.2884,2500.0,0.0,refit_all_parameters
BPIC20_id,results/attachments/variants/BPIC20_id/attachments.csv.gz,6449,753,460,0.6108897742363878,1.0,,753,1.0,1.0,3.13640344813399,True,(1) >= 30 fitted types; (2) full range power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.9038207890243093,0.0379197435551027,0.0032,2500.0,0.0,refit_all_parameters
BPIC20_ptc,results/attachments/variants/BPIC20_ptc/attachments.csv.gz,2099,202,108,0.5346534653465347,1.0,,202,1.0,1.0,2.755112266395072,True,(1) >= 30 fitted types; (2) full range power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.804496723156868,0.0197918702653187,0.8304,2500.0,0.0,refit_all_parameters
BPIC20_rfp,results/attachments/variants/BPIC20_rfp/attachments.csv.gz,6886,89,41,0.4606741573033708,1.0,,89,1.0,1.0,3.4787107555127594,True,(1) >= 30 fitted types; (2) full range power law plausible (p>=0.1); (3) alternative preferred,lognormal,1.5278570064205763,0.0620631322169532,0.3056,2500.0,0.0,refit_all_parameters
BPIC20_tpd,results/attachments/variants/BPIC20_tpd/attachments.csv.gz,7065,1478,1093,0.7395128552097429,1.0,,1478,1.0,1.0,2.9804578922761,True,(1) >= 30 fitted types; (2) full range power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.2165402648974286,0.0639326531782151,0.0,2500.0,0.0,refit_all_parameters
CALL,results/attachments/variants/CALL/attachments.csv.gz,260889,1690,793,0.4692307692307692,1.0,,1690,1.0,1.0,4.400261610744863,True,(1) >= 30 fitted types; (2) full range power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.5663851713673789,0.0494918784779724,0.0,2500.0,0.0,refit_all_parameters
ITHD,results/attachments/variants/ITHD/attachments.csv.gz,4580,226,135,0.5973451327433629,1.0,,226,1.0,1.0,3.374014740291912,True,(1) >= 30 fitted types; (2) full range power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.8132705703285632,0.0604868358199535,0.008,2500.0,0.0,refit_all_parameters
MOBIS,results/attachments/variants/MOBIS/attachments.csv.gz,6555,1109,708,0.6384129846708747,1.0,,1109,1.0,1.0,2.6981005456233897,True,(1) >= 30 fitted types; (2) full range power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.9616944933982143,0.0440117290202172,0.0,2500.0,0.0,refit_all_parameters
RTFMP,results/attachments/variants/RTFMP/attachments.csv.gz,150370,231,100,0.4329004329004329,1.0,,231,1.0,1.0,4.751910066471252,True,(1) >= 30 fitted types; (2) full range power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.521673304033022,0.0377606523147742,0.3256,2500.0,0.0,refit_all_parameters
SEPSIS,results/attachments/variants/SEPSIS/attachments.csv.gz,1050,846,784,0.9267139479905436,1.0,,846,1.0,1.0,1.5440680443502757,False,full range power law invalid (alpha_at_parameter_boundary); fit findings suppressed,,,,,,,skipped_invalid_fit
