log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,1,,1.8251312200807708,0.0291609731501664,65,1.0,1.0,2.167317334748176,0.8984,2500,0,False,True,refit_all_parameters
BPIC11,3,,2.437601166261916,0.0620344460145275,25,0.0254841997961264,0.1522309711286089,1.135662602000073,0.678,2500,0,False,True,refit_all_parameters
BPIC12,4,,2.0485758028409986,0.0322442658128978,199,0.0455794777828676,0.6395659815083671,2.9331074937869817,0.5084,2500,0,False,True,refit_all_parameters
BPIC13_cp,2,,1.9490895462512,0.0406718265127203,76,0.2324159021406728,0.8312037659717552,2.3847117429382827,0.7096,2500,0,False,True,refit_all_parameters
BPIC13_i,2,,2.035654181805521,0.0554363123247643,344,0.151009657594381,0.7439767010855176,2.9417598138146954,0.0,2500,0,False,True,refit_all_parameters
BPIC14,2,,2.0751047724339258,0.0513129398081023,2034,0.0874011687865245,0.5444053543847606,2.9476787399369364,0.0,2500,0,False,True,refit_all_parameters
BPIC17,4,,2.0740534587878834,0.0115470787677077,748,0.0469554300062774,0.466279475705354,2.4216039268698317,0.8268,2500,0,False,True,refit_all_parameters
BPIC18,4,,2.046500905595776,0.019215025188279,629,0.0220786970409631,0.3293158939943847,2.4705574852172743,0.3952,2500,0,False,True,refit_all_parameters
BPIC19,5,,1.7313482782462255,0.0163758532106284,1182,0.0987221247807567,0.9461296447837796,4.002477086703129,0.3492,2500,0,False,True,refit_all_parameters
BPIC20_dd,2,,1.4739892382157858,0.0427111596837733,53,0.5353535353535354,0.9956190476190476,3.3634239329171765,0.8184,2500,0,False,True,refit_all_parameters
BPIC20_id,2,,1.792679919411056,0.0284444192620305,293,0.3891102257636122,0.9286711118002792,2.8353734524700087,0.386,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.804496723156868,0.0197918702653187,202,1.0,1.0,2.755112266395072,0.8276,2500,0,False,True,refit_all_parameters
BPIC20_rfp,1,,1.5278570064205763,0.0620631322169532,89,1.0,1.0,3.4787107555127594,0.2292,2500,0,False,True,refit_all_parameters
BPIC20_tpd,2,,1.8721801972990075,0.022253171244785,385,0.2604871447902571,0.8452937013446568,2.6794278966121188,0.5972,2500,0,False,True,refit_all_parameters
CALL,3,,1.4856767519757763,0.0289722926993376,672,0.3976331360946745,0.995235521620306,3.923140356025201,0.0728,2500,0,False,True,refit_all_parameters
ITHD,2,,1.6729820550721777,0.042493822522389,91,0.4026548672566372,0.9705240174672488,3.0729847446279304,0.5952,2500,0,False,True,refit_all_parameters
MOBIS,2,,1.815836614905668,0.0296207224002595,401,0.3615870153291253,0.8919908466819222,2.397070549959409,0.206,2500,0,False,True,refit_all_parameters
RTFMP,1,,1.521673304033022,0.0377606523147742,231,1.0,1.0,4.751910066471252,0.2652,2500,0,False,True,refit_all_parameters
SEPSIS,2,,2.544027585726212,0.036905984427032,62,0.0732860520094562,0.2533333333333333,1.2430380486862944,0.7632,2500,0,False,True,refit_all_parameters
