log_name,input_path,n_occurrences,n_types,n_singletons,singleton_share,xmin,xmax,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,fit_valid,classification,best_other_distribution,alpha,KS_D,gof_p,n_success,n_failed,gof_kind
ACCRE,results/attachments/variants/ACCRE/attachments.csv.gz,398,65,35,0.5384615384615384,1.0,,65,1.0,1.0,2.167317334748176,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,stretched_exponential,1.8251312200807708,0.0291609731501664,0.8984,2500,0,refit_all_parameters
BPIC11,results/attachments/variants/BPIC11/attachments.csv.gz,1143,981,943,0.961264016309888,3.0,,25,0.0254841997961264,0.1522309711286089,1.135662602000073,True,(1) < 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.437601166261916,0.0620344460145275,0.678,2500,0,refit_all_parameters
BPIC12,results/attachments/variants/BPIC12/attachments.csv.gz,13087,4366,3754,0.8598259276225378,4.0,,199,0.0455794777828676,0.6395659815083671,2.9331074937869817,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.0485758028409986,0.0322442658128978,0.5084,2500,0,refit_all_parameters
BPIC13_cp,results/attachments/variants/BPIC13_cp/attachments.csv.gz,1487,327,251,0.7675840978593272,2.0,,76,0.2324159021406728,0.8312037659717552,2.3847117429382827,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.9490895462512,0.0406718265127203,0.7096,2500,0,refit_all_parameters
BPIC13_i,results/attachments/variants/BPIC13_i/attachments.csv.gz,7554,2278,1934,0.848990342405619,2.0,,344,0.151009657594381,0.7439767010855176,2.9417598138146954,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,2.035654181805521,0.0554363123247643,0.0,2500,0,refit_all_parameters
BPIC14,results/attachments/variants/BPIC14/attachments.csv.gz,46616,23272,21238,0.9125988312134754,2.0,,2034,0.0874011687865245,0.5444053543847606,2.9476787399369364,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.0751047724339258,0.0513129398081023,0.0,2500,0,refit_all_parameters
BPIC17,results/attachments/variants/BPIC17/attachments.csv.gz,31509,15930,13907,0.873006905210295,4.0,,748,0.0469554300062774,0.466279475705354,2.4216039268698317,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.0740534587878834,0.0115470787677077,0.8268,2500,0,refit_all_parameters
BPIC18,results/attachments/variants/BPIC18/attachments.csv.gz,43809,28489,26634,0.9348871494260944,4.0,,629,0.0220786970409631,0.3293158939943847,2.4705574852172743,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.046500905595776,0.019215025188279,0.3952,2500,0,refit_all_parameters
BPIC19,results/attachments/variants/BPIC19/attachments.csv.gz,251734,11973,9030,0.7541969431220246,5.0,,1182,0.0987221247807567,0.9461296447837796,4.002477086703129,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.7313482782462255,0.0163758532106284,0.3492,2500,0,refit_all_parameters
BPIC20_dd,results/attachments/variants/BPIC20_dd/attachments.csv.gz,10500,99,46,0.4646464646464646,2.0,,53,0.5353535353535354,0.9956190476190476,3.3634239329171765,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.4739892382157858,0.0427111596837733,0.8184,2500,0,refit_all_parameters
BPIC20_id,results/attachments/variants/BPIC20_id/attachments.csv.gz,6449,753,460,0.6108897742363878,2.0,,293,0.3891102257636122,0.9286711118002792,2.8353734524700087,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.792679919411056,0.0284444192620305,0.386,2500,0,refit_all_parameters
BPIC20_ptc,results/attachments/variants/BPIC20_ptc/attachments.csv.gz,2099,202,108,0.5346534653465347,1.0,,202,1.0,1.0,2.755112266395072,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.804496723156868,0.0197918702653187,0.8276,2500,0,refit_all_parameters
BPIC20_rfp,results/attachments/variants/BPIC20_rfp/attachments.csv.gz,6886,89,41,0.4606741573033708,1.0,,89,1.0,1.0,3.4787107555127594,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternative preferred,lognormal,1.5278570064205763,0.0620631322169532,0.2292,2500,0,refit_all_parameters
BPIC20_tpd,results/attachments/variants/BPIC20_tpd/attachments.csv.gz,7065,1478,1093,0.7395128552097429,2.0,,385,0.2604871447902571,0.8452937013446568,2.6794278966121188,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.8721801972990075,0.022253171244785,0.5972,2500,0,refit_all_parameters
CALL,results/attachments/variants/CALL/attachments.csv.gz,260889,1690,793,0.4692307692307692,3.0,,672,0.3976331360946745,0.995235521620306,3.923140356025201,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.4856767519757763,0.0289722926993376,0.0728,2500,0,refit_all_parameters
ITHD,results/attachments/variants/ITHD/attachments.csv.gz,4580,226,135,0.5973451327433629,2.0,,91,0.4026548672566372,0.9705240174672488,3.0729847446279304,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.6729820550721777,0.042493822522389,0.5952,2500,0,refit_all_parameters
MOBIS,results/attachments/variants/MOBIS/attachments.csv.gz,6555,1109,708,0.6384129846708747,2.0,,401,0.3615870153291253,0.8919908466819222,2.397070549959409,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.815836614905668,0.0296207224002595,0.206,2500,0,refit_all_parameters
RTFMP,results/attachments/variants/RTFMP/attachments.csv.gz,150370,231,100,0.4329004329004329,1.0,,231,1.0,1.0,4.751910066471252,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.521673304033022,0.0377606523147742,0.2652,2500,0,refit_all_parameters
SEPSIS,results/attachments/variants/SEPSIS/attachments.csv.gz,1050,846,784,0.9267139479905436,2.0,,62,0.0732860520094562,0.2533333333333333,1.2430380486862944,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.544027585726212,0.036905984427032,0.7632,2500,0,refit_all_parameters
