Log,Description,# Cases,# Events,# Variants,# Activities
ACCRE,,398.0,1945.0,65.0,16.0
BPIC11,,1143.0,150291.0,981.0,624.0
BPIC12,,13087.0,262200.0,4366.0,36.0
BPIC13_cp,,1487.0,6660.0,327.0,7.0
BPIC13_i,,7554.0,65533.0,2278.0,13.0
BPIC14,,46616.0,466737.0,23272.0,39.0
BPIC15_1,,1199.0,52217.0,1170.0,398.0
BPIC15_2,,832.0,44354.0,828.0,410.0
BPIC15_3,,1409.0,59681.0,1349.0,383.0
BPIC15_4,,1053.0,47293.0,1049.0,356.0
BPIC15_5,,1156.0,59083.0,1153.0,389.0
BPIC17,,31509.0,1202267.0,15930.0,26.0
BPIC18,,43809.0,2514266.0,28489.0,41.0
BPIC19,,251734.0,1595923.0,11973.0,42.0
BPIC20_dd,,10500.0,56437.0,99.0,17.0
BPIC20_id,,6449.0,72151.0,753.0,34.0
BPIC20_ptc,,2099.0,18246.0,202.0,29.0
BPIC20_rfp,,6886.0,36796.0,89.0,19.0
BPIC20_tpd,,7065.0,86581.0,1478.0,51.0
CALL,,260889.0,445567.0,1690.0,19.0
ITHD,,4580.0,21348.0,226.0,14.0
MOBIS,,6555.0,83256.0,1109.0,26.0
RTFMP,,150370.0,561470.0,231.0,11.0
SEPSIS,,1050.0,15214.0,846.0,16.0
