dataset,linear_a,linear_b,linear_nll,exponential_a,exponential_b,exponential_nll,best_fit,power_c,power_alpha,power_nll,bounded_power_min_frequency,bounded_power_c,bounded_power_alpha,bounded_power_nll
ACCRE,-0.4158216783216777,19.845192307692287,1777.2087788771914,10.566986159601338,-0.04838805218873729,1353.3239510001001,bounded_power_law,97.03411875500254,1.184272620575433,1103.3923441368593,2.0,113.01766787728172,1.2371836041708721,1099.7864127389137
BPIC11,-0.0009929717883902435,1.6526867627785093,7848.075384995936,1.2206153935900348,-0.0003024009043812216,7854.202895370069,power_law,3.2386970262933366,0.1907841370035427,7762.037320155961,2.0,33.25260635742182,0.8084768133936434,7961.914524913282
BPIC12,-0.0026988633643208614,8.8904486873734,122010.19899045283,1.945280146678529,-0.00022261588925755164,106034.31568637896,bounded_power_law,39.912931784091846,0.47507572316261454,87347.94321998587,2.0,443.19918226152095,0.8877558098827166,75065.12350534342
BPIC13_cp,-0.062658642289693,14.823417947130453,9442.065343923674,3.4757410974632905,-0.005462278780566164,7805.065627094186,bounded_power_law,62.83052917916493,0.7894093420056606,5878.412977066157,2.0,286.41647090572053,1.2314281898376942,5405.7376729849775
BPIC13_i,-0.005974221535248229,10.123692164612905,64896.20993818733,2.2147750199174765,-0.0005095808681534913,55820.85762350409,bounded_power_law,56.29532669965313,0.5667668387242848,45066.95506113989,2.0,824.1078958784611,1.0911350382559526,39982.5001892213
BPIC14,-0.00025469563897991324,4.966859649672468,517451.4009050975,1.5899889322214193,-2.94409973295401e-05,461756.6345066016,bounded_power_law,36.13859166384248,0.3827856701402866,422860.09486018826,2.0,3227.1362508814605,1.0110692479654975,401292.6600808607
BPIC15_1,-0.00012610171591951835,1.0986188794572032,8469.657702817283,1.0500533098966054,-6.24168126760963e-05,8469.861984545403,power_law,1.4331072747356226,0.057270408100500325,8464.604948055374,2.0,7.215557938542651,0.5468745340712957,8652.785287094928
BPIC15_2,-3.483758782089947e-05,1.0192710980261581,5590.190644236237,1.0134473199971323,-2.4147575775564824e-05,5590.193007103494,power_law,1.1064910044132723,0.017093313871573815,5590.000485689196,2.0,1.9999999999999996,5.843915280543269e-17,5590.218943759638
BPIC15_3,-0.00019668010666948335,1.1772364626616487,10151.340103728624,1.062411302316691,-6.713750547134924e-05,10152.610652693664,power_law,1.6000840000552592,0.07323643856113815,10136.392109731416,2.0,19.684351957810225,0.884880233080056,10951.025518166101
BPIC15_4,-2.1758272145773877e-05,1.015236248262613,7324.216502052901,1.0095089112095206,-1.351457578591473e-05,7324.219547564628,power_law,1.0851701446696873,0.013317253729883861,7324.036833708072,2.0,2.893929765400077,0.3923179639402912,7418.559395064209
BPIC15_5,-1.3504631877357558e-05,1.01039408065915,8149.9300741573115,1.0072306434740266,-9.360697510290122e-06,8149.931095644489,power_law,1.0650536534909107,0.01011263715932605,8149.8339684776365,2.0,1.9999999999999996,-0.0,8149.9416320981645
BPIC17,-0.000357430004837714,4.825074805229712,337340.9129331619,1.872131659609727,-5.767470191497517e-05,299035.8074091275,bounded_power_law,62.4326908221053,0.45715450780719563,274267.7701670642,2.0,1270.0952357107178,0.8808508884933558,265077.0527867976
BPIC18,-0.00011175032900707315,3.129634849531597,455105.700421636,1.3785991637093682,-1.6710741111270457e-05,446175.53977352375,bounded_power_law,15.048830311127046,0.28390828811994834,426128.19407607534,2.0,1174.2440683118955,0.8874334333970881,411439.67293013056
BPIC19,-0.009932079744822435,80.48850133035634,2175956.630016774,4.377924740594337,-0.0001769387518773135,2157957.7147076423,bounded_power_law,3218.637630424018,0.9128330411729194,1223376.3945540586,2.0,61637.52890941821,1.3352059626193367,1101845.1510158628
BPIC20_dd,-6.0665429808287,409.3877551020411,38104.35577263743,64.82037333099791,-0.0561544524188576,31838.060088499373,power_law,6524.737140922873,2.04526996155807,19792.457066975265,2.0,9838.002047306552,2.1970567267749934,20164.061978993395
BPIC20_id,-0.056434569864342886,29.840241869401982,41744.317214080285,8.68351242731708,-0.0039691457985181035,36992.19089534752,bounded_power_law,987.2324119470636,1.1066068950643235,27549.674763046292,2.0,1748.7395856812789,1.2268208296061458,27544.73205794473
BPIC20_ptc,-0.2576346672237988,36.54100783212645,10622.30945387978,11.883026649131535,-0.016607826931020028,9108.807326194958,power_law,481.3762667788867,1.2453270090161057,6838.206141821349,2.0,724.7060154176647,1.3667942638509905,6842.1167026465455
BPIC20_rfp,-4.852826012938377,295.74795709908085,24553.52905632164,67.53345641724991,-0.062419969135264396,20407.113707468423,power_law,4639.030845985646,1.997207311679666,13345.596687683435,2.0,5367.341728558168,2.0422885548318073,13408.123947051656
BPIC20_tpd,-0.01460568043901593,15.58100893905012,54422.741861712595,4.272994793653595,-0.0014015402378717533,47276.67465010361,bounded_power_law,329.0530097487709,0.8538145310455671,37338.03592792922,2.0,1386.3577646905105,1.1359041524895368,36805.46446162396
CALL,-0.5298972686771708,602.4003300156602,1673235.0544244866,50.7138510545325,-0.0031292811429096167,1526084.0229183068,power_law,531731.6137021548,1.8497409849533404,1220491.3955291763,2.0,945008.1468686335,1.9550085936271917,1262969.62639756
