dataset,linear_nll,exponential_nll,power_nll,bounded_power_nll,best_fit,power_law_exponent_alpha,bounded_power_law_exponent_alpha
ACCRE,1777.2087788771914,1353.3239510001001,1103.3923441368593,1099.7864127389137,bounded_power_law,1.184272620575433,1.2371836041708721
BPIC11,7848.075384995936,7854.202895370069,7762.037320155961,7961.914524913282,power_law,0.1907841370035427,0.8084768133936434
BPIC12,122010.19899045283,106034.31568637896,87347.94321998587,75065.12350534342,bounded_power_law,0.47507572316261454,0.8877558098827166
BPIC13_cp,9442.065343923674,7805.065627094186,5878.412977066157,5405.7376729849775,bounded_power_law,0.7894093420056606,1.2314281898376942
BPIC13_i,64896.20993818733,55820.85762350409,45066.95506113989,39982.5001892213,bounded_power_law,0.5667668387242848,1.0911350382559526
BPIC14,517451.4009050975,461756.6345066016,422860.09486018826,401292.6600808607,bounded_power_law,0.3827856701402866,1.0110692479654975
BPIC15_1,8469.657702817283,8469.861984545403,8464.604948055374,8652.785287094928,power_law,0.057270408100500325,0.5468745340712957
BPIC15_2,5590.190644236237,5590.193007103494,5590.000485689196,5590.218943759638,power_law,0.017093313871573815,5.843915280543269e-17
BPIC15_3,10151.340103728624,10152.610652693664,10136.392109731416,10951.025518166101,power_law,0.07323643856113815,0.884880233080056
BPIC15_4,7324.216502052901,7324.219547564628,7324.036833708072,7418.559395064209,power_law,0.013317253729883861,0.3923179639402912
BPIC15_5,8149.9300741573115,8149.931095644489,8149.8339684776365,8149.9416320981645,power_law,0.01011263715932605,-0.0
BPIC17,337340.9129331619,299035.8074091275,274267.7701670642,265077.0527867976,bounded_power_law,0.45715450780719563,0.8808508884933558
BPIC18,455105.700421636,446175.53977352375,426128.19407607534,411439.67293013056,bounded_power_law,0.28390828811994834,0.8874334333970881
BPIC19,2175956.630016774,2157957.7147076423,1223376.3945540586,1101845.1510158628,bounded_power_law,0.9128330411729194,1.3352059626193367
BPIC20_dd,38104.35577263743,31838.060088499373,19792.457066975265,20164.061978993395,power_law,2.04526996155807,2.1970567267749934
BPIC20_id,41744.317214080285,36992.19089534752,27549.674763046292,27544.73205794473,bounded_power_law,1.1066068950643235,1.2268208296061458
BPIC20_ptc,10622.30945387978,9108.807326194958,6838.206141821349,6842.1167026465455,power_law,1.2453270090161057,1.3667942638509905
BPIC20_rfp,24553.52905632164,20407.113707468423,13345.596687683435,13408.123947051656,power_law,1.997207311679666,2.0422885548318073
BPIC20_tpd,54422.741861712595,47276.67465010361,37338.03592792922,36805.46446162396,bounded_power_law,0.8538145310455671,1.1359041524895368
CALL,1673235.0544244866,1526084.0229183068,1220491.3955291763,1262969.62639756,power_law,1.8497409849533404,1.9550085936271917
ITHD,21875.438647997238,19659.50917959333,11114.186380244779,10778.431656064697,bounded_power_law,1.3329354346731124,1.5481633909733967
MOBIS,47153.192203218794,40990.76647562398,34693.13347264039,35030.95566955219,power_law,1.031438999992495,1.146777710084064
RTFMP,658180.9997874052,563133.5957832356,287310.36253496195,296010.966487379,power_law,2.134851530941015,2.3333869920149164
SEPSIS,7038.613127343571,7041.047072010275,6911.294089935039,6947.016883983908,power_law,0.26140439534769033,0.7194034091878407
